id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46540515,Humewood Villa Guesthouse - Red Room,111115160,Sandra,,Ward 107,-33.80662,18.49902,Private room,800,2,0,,,2,365,0,
46540564,The Gate House - 4 Sleeper,369648182,Frankie,,Ward 74,-34.02537,18.37301,Entire home/apt,3500,1,1,2021-02-14,0.07,2,313,0,
46540656,Casa Labia - Appartemento Giallo,376353777,Casa Labia,,Ward 64,-34.11142,18.46738,Private room,2800,1,6,2022-02-15,0.61,2,171,6,
46540775,"Idyllic: Townhouse, garden & views, Somerset West",331870052,Kenred,,Ward 15,-34.06318,18.83907,Entire home/apt,1400,2,14,2022-02-04,0.92,1,266,13,
46541217,Suite in Constantia Guest House,23490740,Suzanne,,Ward 71,-34.05095,18.44037,Private room,4078,1,0,,,5,286,0,
46541610,Harbour Views from V&A Estate,40101017,Aep,,Ward 115,-33.91085,18.41994,Entire home/apt,5014,2,7,2022-02-26,1.63,20,288,7,
46544985,Lovely Designer Apartment in Observatory,54476563,Ryno,,Ward 57,-33.93558,18.46826,Entire home/apt,750,2,4,2022-02-13,0.26,1,0,3,
46545857,Kalk Bay cottage in the heart of Kalk Bay,376402132,Charmaine,,Ward 64,-34.12533,18.44982,Entire home/apt,1400,2,31,2022-03-14,2.02,1,10,18,
46553847,Spacious private room and own bathroom,367392560,Stephanie Laura Verity,,Ward 73,-34.03455,18.46259,Private room,400,1,1,2020-11-30,0.06,1,362,0,
46555259,"A charming hideaway in Northpine, Brackenfell",175401080,Eric,,Ward 7,-33.87539,18.71919,Private room,350,1,14,2022-03-25,1.17,1,365,14,
46556519,8 Wattle Street Mini,3993139,Monique,,Ward 70,-33.88412,18.60494,Entire home/apt,350,2,5,2022-03-02,0.67,2,177,5,
46556586,Lovely 1 bedroom to rent in my home,54756438,Paul,,Ward 2,-33.88699,18.58375,Private room,450,1,0,,,1,270,0,
46556832,Newberry River Studio Flat with deck,18299561,Barry,,Ward 59,-33.9736,18.45727,Private room,557,2,3,2022-03-03,0.26,2,228,3,
46557293,Tiny home in the winelands,224957094,Amerae,,Ward 84,-34.07892,18.86133,Entire home/apt,650,2,0,,,1,146,0,
46559942,1701 - Dark Glamor with free parking,9669737,Charmaine,,Ward 115,-33.92304,18.42143,Entire home/apt,1395,1,138,2022-03-19,8.66,15,154,108,
46561829,"Modern 1 bedroom apartment, great location CT buzz",341955084,Anas,,Ward 115,-33.91041,18.41498,Entire home/apt,1270,10,3,2021-04-15,0.20,2,0,1,
46562867,Suite Ruby Tuesday - Capri,376522163,Louise,,Ward 69,-34.1326,18.38688,Entire home/apt,750,2,7,2022-02-02,0.47,1,162,3,
46573432,Quaint Mountain View Cottage.,376586974,June,,Ward 71,-34.07791,18.45297,Entire home/apt,620,4,11,2022-01-29,0.72,1,12,7,
46574855,29 Hampstead Rd. 2 Bedroom House with Garden,56868851,Claydon,,Ward 58,-33.98727,18.48117,Entire home/apt,1200,2,17,2022-01-04,1.10,1,343,12,
46575270,The Lookout,97409432,Imraan,,Ward 64,-34.11818,18.45586,Entire home/apt,3000,2,25,2022-03-21,1.60,2,215,22,
46575619,Gecko Lodge,135816291,Matthew,,Ward 64,-34.12933,18.41166,Entire home/apt,1614,2,17,2022-02-25,1.07,1,137,7,
46576500,Newly renovated house in Strand next to beach,119770441,Johan,,Ward 83,-34.10548,18.81908,Entire home/apt,3200,14,1,2021-01-03,0.07,1,52,0,
